KEYS,,DECK-SELECTED,,,,CH0,CH1,CH2,LED,,,,,,,,
OUT R,NO SHIFT,DECK A,PUSH,ON/OFF,ON,92,3,7F,7F,146,3,127,146,3,127,blink,20
,,,PULL,ON/OFF,OFF,92,3,0,0,146,3,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,94,3,7F,7F,148,3,127,148,3,127,blink,20
,,,PULL,ON/OFF,OFF,94,3,0,0,148,3,0,,,,,
,SHIFT,DECK A,PUSH,ON/OFF,ON,92,43,7F,7F,146,67,127,146,67,127,blink,20
,,,PULL,ON/OFF,OFF,92,43,0,0,146,67,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,94,43,7F,7F,148,67,127,148,67,127,blink,20
,,,PULL,ON/OFF,OFF,94,43,0,0,148,67,0,,,,,
RE R,NO SHIFT,DECK A,PUSH,ON/OFF,ON,92,4,7F,7F,146,4,127,146,4,127,blink,20
,,,PULL,ON/OFF,OFF,92,4,0,0,146,4,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,94,4,7F,7F,148,4,127,148,4,127,blink,20
,,,PULL,ON/OFF,OFF,94,4,0,0,148,4,0,,,,,
,SHIFT,DECK A,PUSH,ON/OFF,ON,92,44,7F,7F,146,68,127,146,68,127,blink,20
,,,PULL,ON/OFF,OFF,92,44,0,0,146,68,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,94,44,7F,7F,148,68,127,148,68,127,blink,20
,,,PULL,ON/OFF,OFF,94,44,0,0,148,68,0,,,,,
SYNC R,NO SHIFT,DECK A,PUSH,ON/OFF,ON,92,5,7F,7F,146,5,127,146,5,127,blink,20
,,,PULL,ON/OFF,OFF,92,5,0,0,146,5,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,94,5,7F,7F,148,5,127,148,5,127,blink,20
,,,PULL,ON/OFF,OFF,94,5,0,0,148,5,0,,,,,
,SHIFT,DECK A,PUSH,ON/OFF,ON,92,45,7F,7F,146,69,127,146,69,127,blink,20
,,,PULL,ON/OFF,OFF,92,45,0,0,146,69,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,94,45,7F,7F,148,69,127,148,69,127,blink,20
,,,PULL,ON/OFF,OFF,94,45,0,0,148,69,0,,,,,
1 R,NO SHIFT,DECK A,PUSH,ON/OFF,ON,92,6,7F,7F,146,6,127,146,6,127,blink,20
,,,PULL,ON/OFF,OFF,92,6,0,0,146,6,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,94,6,7F,7F,148,6,127,148,6,127,blink,20
,,,PULL,ON/OFF,OFF,94,6,0,0,148,6,0,,,,,
,SHIFT,DECK A,PUSH,ON/OFF,ON,92,46,7F,7F,146,70,127,146,70,127,blink,20
,,,PULL,ON/OFF,OFF,92,46,0,0,146,70,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,94,46,7F,7F,148,70,127,148,70,127,blink,20
,,,PULL,ON/OFF,OFF,94,46,0,0,148,70,0,,,,,
2 R,NO SHIFT,DECK A,PUSH,ON/OFF,ON,92,7,7F,7F,146,7,127,146,7,127,blink,20
,,,PULL,ON/OFF,OFF,92,7,0,0,146,7,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,94,7,7F,7F,148,7,127,148,7,127,blink,20
,,,PULL,ON/OFF,OFF,94,7,0,0,148,7,0,,,,,
